Service Name,External Port,Internal Port,Port Mapping,Mapped App
"dcpd","8081","8080","False","N/A"
"dcpd","51763","51763","False","N/A"
"kasm","3149","3000","False","N/A"
"kasm","4443","4443","False","N/A"
"mysql-workbench","3120","3000","False","N/A"
"discount-bandit","8156","80","False","N/A"
"podfetch","8155","8000","False","N/A"
"ttyd","7681","7681","False","N/A"
"n8n","5678","5678","False","N/A"
"gptwol","None","None","False","N/A"
"fasten","9091","8080","False","N/A"
"haproxy","8405","8405","False","N/A"
"haproxy","8404","8404","False","N/A"
"adguardhome","None","None","False","N/A"
"adguardhome-sync","8133","8080","False","N/A"
"apprise-api","8084","8000","False","N/A"
"apt-cacher-ng","3142","3142","False","N/A"
"ara-api","9450","8000","False","N/A"
"argus","8111","8111","False","N/A"
"autoheal","None","None","False","N/A"
"bazarr","None","None","True","N/A"
"beets","8337","8337","False","N/A"
"caddy","8069","8069","False","N/A"
"caddy","443","443","False","N/A"
"caddy","2019","2019","False","N/A"
"caddy","5888","5888","False","N/A"
"cadvisor","8104","8080","False","N/A"
"calibre","8091","8101","False","N/A"
"calibre","8098","8080","False","N/A"
"calibre-web","None","None","True","N/A"
"changedetection","8144","5000","False","N/A"
"container-web-tty","8105","8080","False","N/A"
"dash","8149","3001","False","N/A"
"ddns-updater","8103","8000","False","N/A"
"doplarr","None","None","False","N/A"
"doublecommander","3001","3000","False","N/A"
"dozzle","8888","1224","False","N/A"
"drone","3070","80","False","N/A"
"drone","3071","443","False","N/A"
"drone-gc","None","None","False","N/A"
"filebrowser","8090","8090","False","N/A"
"flame","5005","5005","False","N/A"
"flaresolverr","None","None","True","N/A"
"freshrss","6280","80","False","N/A"
"gaps","8135","8484","False","N/A"
"gitea","3069","3000","False","N/A"
"glances","61208","61208","False","N/A"
"gotify","8132","80","False","N/A"
"grafana","3000","3000","False","N/A"
"hastebin","7777","7777","False","N/A"
"healthchecks","8114","8000","False","N/A"
"homarr","7575","7575","False","N/A"
"homeassistant","None","None","False","N/A"
"homebox","7745","7745","False","N/A"
"homebridge","None","None","False","N/A"
"hueplex","3939","3939","False","N/A"
"influxdb","8086","8086","False","N/A"
"influxdb-ui","8108","80","False","N/A"
"iotop","None","None","False","N/A"
"jdownloader-2","None","None","True","N/A"
"jellyfin","8110","8096","False","N/A"
"jellyseerr","5056","5055","False","N/A"
"lazylibrarian","None","None","True","N/A"
"libreoffice","3006","3006","False","N/A"
"lidarr","None","None","True","N/A"
"logerr","None","None","False","N/A"
"mailrise","8025","8025","False","N/A"
"mealie_old","8147","80","False","N/A"
"mealie_old","9003","9003","False","N/A"
"mealie","3010","3000","False","N/A"
"mealie","9010","9000","False","N/A"
"mediainfo","5802","5800","False","N/A"
"mediatracker","7481","7481","False","N/A"
"monocker","None","None","False","N/A"
"mosquitto","9002","9002","False","N/A"
"mosquitto","9001","9001","False","N/A"
"movary","8151","80","False","N/A"
"mysql","3306","3306","False","N/A"
"mysql-discount-bandit","3307","3306","False","N/A"
"navidrome","4533","4533","False","N/A"
"netdata","None","None","False","N/A"
"npm","80","80","False","N/A"
"npm","81","81","False","N/A"
"ombi","None","None","True","N/A"
"openbooks","None","None","True","N/A"
"openspeedtest","8128","3000","False","N/A"
"openspeedtest","8129","3001","False","N/A"
"overseerr","5055","5055","False","N/A"
"pairdrop","3002","3000","False","N/A"
"photoprism","8143","2342","False","N/A"
"plex","None","None","False","N/A"
"plex-meta-manager","None","None","False","N/A"
"plugsy","8130","3000","False","N/A"
"portainer","9000","9000","False","N/A"
"prom-plex-exporter","9004","9000","False","N/A"
"prometheus","9191","9090","False","N/A"
"prowlarr","None","None","True","N/A"
"psitransfer","4001","3000","False","N/A"
"qbittorrent","None","None","True","N/A"
"qbittorrent","None","None","True","N/A"
"qdirstat","5800","3000","False","N/A"
"qrcode-generator","8148","80","False","N/A"
"radarr","None","None","True","N/A"
"readarr","None","None","True","N/A"
"registry","5000","5000","False","N/A"
"registry_mirror","5002","5000","False","N/A"
"registry-ui","5001","80","False","N/A"
"registry-browser","5025","8080","False","N/A"
"renderer","8088","8081","False","N/A"
"ring-mqtt","None","None","False","N/A"
"runner","3072","3000","False","N/A"
"sabnzbd","None","None","True","N/A"
"sabnzbd_exporter","9387","9387","False","N/A"
"sarchart","3269","3000","False","N/A"
"semaphore","3100","3000","False","N/A"
"sonarr","None","None","True","N/A"
"speedtest-tracker","8765","80","False","N/A"
"sponsorblockcast","None","None","False","N/A"
"sqlitebrowser","8109","3000","False","N/A"
"sshwifty","8182","8182","False","N/A"
"tailon","8085","8085","False","N/A"
"tautulli","None","None","True","N/A"
"tdarr","8265","8265","False","N/A"
"tdarr","8266","8266","False","N/A"
"theme-park","8100","80","False","N/A"
"tubesync","None","None","True","N/A"
"tubesync","None","None","True","N/A"
"upsnap","None","None","False","N/A"
"uptime-kuma","8142","3001","False","N/A"
"vaultwarden","8087","80","False","N/A"
"vnstat","None","None","False","N/A"
"vscodium","3003","3000","False","N/A"
"watchyourlan","None","None","False","N/A"
"whatsupdocker","8841","8841","False","N/A"
"whisparr","None","None","True","N/A"
"whisparr2","None","None","True","N/A"
"wikijs","8112","3000","False","N/A"
"wireguard","8140","51820","False","N/A"
"wireguard-pia","3579","3579","False","ombi"
"wireguard-pia","4848","4848","False","tubesync"
"wireguard-pia","4849","4849","False","tubesync"
