ID,IMAGE,COMMAND,CREATED AT,STATUS,NAMES
cb8853115daa,osu.registry:5000/osuhickeys/docker_compose_ports_dump:latest,"bash /app/bootstrap…",2023-09-08 10:16:49 -0500 CDT,Up 13 minutes (healthy),dcpd
f119e99184c4,adguard/adguardhome:beta,"/opt/adguardhome/Ad…",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),adguardhome
7ad36b338f1d,osu.registry:5000/osuhickeys/caddy:latest,"caddy docker-proxy",2023-09-08 07:01:21 -0500 CDT,Up 3 hours,caddy
0275d0e8b471,lscr.io/linuxserver/sonarr:develop,"/init",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),sonarr
ec8d1abff3cf,osu.registry:5000/osuhickeys/qrcode-generator:latest,"/docker-entrypoint.…",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),qrcode-generator
b9b4523077cc,lscr.io/linuxserver/vscodium:latest,"/init",2023-09-08 07:01:21 -0500 CDT,Up 3 hours,vscodium
3eadc4e730f7,lscr.io/linuxserver/readarr:nightly,"/init",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),readarr
63c82b202e70,lscr.io/linuxserver/radarr:nightly,"/init",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),radarr
0a6aac8e9ccf,lscr.io/linuxserver/calibre:latest,"/init",2023-09-08 07:01:21 -0500 CDT,Up 3 hours,calibre
23d50c3f8f14,lscr.io/linuxserver/tautulli:develop,"/init",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),tautulli
5b61fb92fbde,gitea/gitea:latest,"/usr/bin/entrypoint…",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),gitea
bf2738504c09,osu.registry:5000/osuhickeys/mailrise:latest,"mailrise -vvv /etc/…",2023-09-08 07:01:21 -0500 CDT,Up 3 hours,mailrise
d9880ba08d25,osu.registry:5000/osuhickeys/semaphore:latest,"/sbin/tini -- /usr/…",2023-09-08 07:01:21 -0500 CDT,Up 3 hours,semaphore
a49744d9946c,osu.registry:5000/osuhickeys/sarchart:latest,"docker-entrypoint.s…",2023-09-08 07:01:21 -0500 CDT,Up 3 hours,sarchart
e211666a675f,willfarrell/autoheal:latest,"/docker-entrypoint …",2023-09-08 07:01:21 -0500 CDT,Up 3 hours (healthy),autoheal
aabf4325930e,osu.registry:5000/osuhickeys/lidarr:latest,"/init",2023-09-07 23:05:11 -0500 CDT,Up 11 hours (healthy),lidarr
01b62e325c5d,lscr.io/linuxserver/sabnzbd:latest,"/init",2023-09-07 07:03:29 -0500 CDT,Up 27 hours (healthy),sabnzbd
392f5c9f9e6c,lscr.io/linuxserver/wireguard:latest,"/init",2023-09-07 07:03:29 -0500 CDT,Up 27 hours,wireguard
5da0c0f9ff9c,haproxytech/haproxy-alpine:latest,"/docker-entrypoint.…",2023-09-07 07:03:29 -0500 CDT,Up 27 hours,haproxy
579a69477b8f,lscr.io/linuxserver/doublecommander:latest,"/init",2023-09-07 07:01:24 -0500 CDT,Up 27 hours,doublecommander
252372e8f642,lscr.io/linuxserver/overseerr:latest,"/init",2023-09-07 07:01:24 -0500 CDT,Up 27 hours (healthy),overseerr
121b5c3d013d,influxdb:latest,"/entrypoint.sh infl…",2023-09-07 07:01:24 -0500 CDT,Up 27 hours,influxdb
ca1b104bd0f0,netdata/netdata:edge,"/usr/sbin/run.sh",2023-09-07 07:01:24 -0500 CDT,Up 27 hours (healthy),netdata
47ecd111bbea,quay.io/prometheus/prometheus:latest,"/bin/prometheus --c…",2023-09-07 07:01:24 -0500 CDT,Up 27 hours (healthy),prometheus
12b4e318e621,drone/drone-runner-docker:latest,"/bin/drone-runner-d…",2023-09-07 07:01:24 -0500 CDT,Up 27 hours,runner
2a9b56b5b758,lscr.io/linuxserver/prowlarr:nightly,"/init",2023-09-07 06:58:11 -0500 CDT,Up 28 hours (healthy),prowlarr
21b22f529c2c,lscr.io/linuxserver/homeassistant:latest,"/init",2023-09-07 06:58:11 -0500 CDT,Up 28 hours,homeassistant
c2ff54a2018a,lscr.io/linuxserver/adguardhome-sync:latest,"/init",2023-09-06 06:44:14 -0500 CDT,Up 2 days,adguardhome-sync
15adb3692914,lscr.io/linuxserver/bazarr:latest,"/init",2023-09-06 06:44:14 -0500 CDT,Up 2 days (healthy),bazarr
61f95589bb05,ghcr.io/fastenhealth/fasten-onprem:main,"/opt/fasten/fasten …",2023-09-06 06:44:14 -0500 CDT,Up 2 days,fasten
99fba31ba0e4,lscr.io/linuxserver/kasm:latest,"/init",2023-09-06 06:44:14 -0500 CDT,Up 2 days,kasm
07dc077262ff,lscr.io/linuxserver/changedetection.io:latest,"/init",2023-09-06 06:44:14 -0500 CDT,Up 2 days,changedetection
a8845f27acd4,ghcr.io/alexjustesen/speedtest-tracker:latest,"/init",2023-09-05 16:35:05 -0500 CDT,Up 2 days,speedtest-tracker
1da3b45944c9,lscr.io/linuxserver/plex:latest,"/init",2023-09-05 10:52:23 -0500 CDT,Up 3 days (healthy),plex
80e619ad64cc,lscr.io/linuxserver/apprise-api:latest,"/init",2023-09-05 10:52:23 -0500 CDT,Up 3 days (healthy),apprise-api
4ef049e50d03,lscr.io/linuxserver/libreoffice:latest,"/init",2023-09-05 10:52:23 -0500 CDT,Up 3 days,libreoffice
675702269d10,ghcr.io/ajnart/homarr:latest,"docker-entrypoint.s…",2023-09-05 10:52:23 -0500 CDT,Up 3 days (healthy),homarr
0612e54e965f,lscr.io/linuxserver/jellyfin:latest,"/init",2023-09-05 10:52:23 -0500 CDT,Up 3 days (healthy),jellyfin
b7676f930f93,samuel19982/podfetch:latest,"./podfetch",2023-09-05 10:52:23 -0500 CDT,Up 3 days,podfetch
3006d4691df1,vergoh/vnstat:dev,"/start.sh",2023-09-04 06:51:11 -0500 CDT,Up 4 days,vnstat
d36837544742,lscr.io/linuxserver/freshrss:latest,"/init",2023-09-04 06:51:11 -0500 CDT,Up 4 days,freshrss
9e2c86d2af5c,lscr.io/linuxserver/qdirstat:latest,"/init",2023-09-04 06:51:11 -0500 CDT,Up 4 days,qdirstat
ac01a50b8056,lscr.io/linuxserver/healthchecks:latest,"/init",2023-09-04 06:51:11 -0500 CDT,Up 4 days,healthchecks
2b8b04731e89,tsightler/ring-mqtt:latest,"/init",2023-09-04 06:51:11 -0500 CDT,Up 4 days,ring-mqtt
070de9b9f3b3,lscr.io/linuxserver/sqlitebrowser:latest,"/init",2023-09-03 07:02:55 -0500 CDT,Up 5 days,sqlitebrowser
6bc043b5f77b,lscr.io/linuxserver/beets:latest,"/init",2023-09-03 07:02:55 -0500 CDT,Up 5 days,beets
