NAME                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O
dcpd                    2.38%     191MiB / 7.749GiB     124kB / 31.6kB    4.1kB / 4.44MB
adguardhome             0.01%     83.81MiB / 7.749GiB   0B / 0B           38MB / 19.4MB
caddy                   0.07%     70.11MiB / 7.749GiB   5.05MB / 35.7MB   42.7MB / 6.79MB
sonarr                  0.09%     197.6MiB / 7.749GiB   698GB / 93.3GB    169MB / 29.8MB
qrcode-generator        0.00%     15.58MiB / 7.749GiB   2.53MB / 1.36MB   11.8MB / 12.3kB
vscodium                4.82%     1.524GiB / 7.749GiB   30.5MB / 261kB    2.41GB / 452MB
readarr                 0.09%     351MiB / 7.749GiB     698GB / 93.3GB    319MB / 171MB
radarr                  0.03%     305.5MiB / 7.749GiB   698GB / 93.3GB    226MB / 26.2MB
calibre                 0.10%     516.1MiB / 7.749GiB   1.8MB / 17.4MB    163MB / 448MB
tautulli                1.16%     123.5MiB / 7.749GiB   698GB / 93.3GB    58.2MB / 5.54MB
gitea                   0.14%     186.2MiB / 7.749GiB   6.41MB / 30.7MB   95.2MB / 108MB
mailrise                0.00%     34.09MiB / 7.749GiB   1.34MB / 49.5kB   8.67MB / 0B
semaphore               0.00%     26.51MiB / 7.749GiB   1.26MB / 91kB     37.1MB / 0B
sarchart                0.00%     48.06MiB / 7.749GiB   5.58MB / 49.9kB   0B / 2.17MB
autoheal                0.00%     5.004MiB / 7.749GiB   1.17MB / 0B       6.14MB / 0B
lidarr                  0.05%     196MiB / 1.465GiB     698GB / 93.3GB    2.09GB / 198MB
sabnzbd                 2.35%     90.14MiB / 7.749GiB   698GB / 93.3GB    31.6GB / 303GB
wireguard               0.05%     17.45MiB / 7.749GiB   9.45MB / 378B     6.42MB / 479kB
haproxy                 0.04%     72.02MiB / 7.749GiB   20.5MB / 20.8MB   1.28MB / 1.73MB
doublecommander         1.07%     126.5MiB / 7.749GiB   9.47MB / 0B       296MB / 1.41MB
overseerr               0.01%     295.7MiB / 7.749GiB   192MB / 725MB     31.5MB / 25.4MB
influxdb                0.03%     107.1MiB / 7.749GiB   9.65MB / 141kB    82.4MB / 1.04MB
